"Client","Application","Version","Environment","DeploymentStatus","DeploymentStartDateTime","DeploymentEndDateTime","TriggeredBy","ActionRunUrl"
"QA","Tools","2.26.0713.47","QA","Cancelled","2026-07-13 15:30:35 UTC","2026-07-14 15:31:44 UTC","ajoshi-lds","https://github.com/LD-Global-Services/Deployment/actions/runs/29262450320"
"QA","Tools","2.26.0708.46","QA","Cancelled","2026-07-10 11:49:19 UTC","2026-07-11 11:49:51 UTC","ajoshi-lds","https://github.com/LD-Global-Services/Deployment/actions/runs/29090586227"
"QA","Tools","2.26.0708.45","QA","Failed","2026-07-10 11:48:17 UTC","2026-07-10 11:48:17 UTC","ajoshi-lds","https://github.com/LD-Global-Services/Deployment/actions/runs/29090531973"
"QA","Recon","2.26.0706.614","QA","Succeeded","2026-07-09 14:25:43 UTC","2026-07-09 14:29:03 UTC","95","https://github.com/LD-Global-Services/Deployment/actions/runs/29025291479"
"MTEU","Recon","2.26.0703.45","UAT","Failed","2026-07-09 09:24:51 UTC","2026-07-09 11:40:41 UTC","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29015599050"
"QA","Tools","2.26.0703.45","QA","Cancelled","2026-07-07 13:26:40 UTC","2026-07-08 13:27:30 UTC","ajoshi-lds","https://github.com/LD-Global-Services/Deployment/actions/runs/28869769818"
"QA","Recon","2.26.0703.45","QA","Cancelled","2026-07-07 13:25:42 UTC","2026-07-07 13:25:42 UTC","ajoshi-lds","https://github.com/LD-Global-Services/Deployment/actions/runs/28869707656"
"MASH","Recon","2.26.0706.613","UAT","Succeeded","2026-07-07 12:14:49 UTC","2026-07-07 12:43:12 UTC","ajoshi-lds","https://github.com/LD-Global-Services/Deployment/actions/runs/28865292684"
"QA","Recon","2.26.0706.613","QA","Succeeded","2026-07-07 12:00:34 UTC","2026-07-07 12:08:00 UTC","ajoshi-lds","https://github.com/LD-Global-Services/Deployment/actions/runs/28864452574"
"QA","Recon","2.26.0629.605","QA","Succeeded","2026-07-06 16:29:30 UTC","2026-07-06 16:31:42 UTC","ajoshi-lds","https://github.com/LD-Global-Services/Deployment/actions/runs/28806912086"
"BAIN","Recon","2.26.0428.93","UAT","Failed","2026-06-16 16:08:33 UTC","2026-06-16 16:08:33 UTC","ajoshi-lds",""
"DKCM","Recon","2.26.0623.581","UAT","Failed","2026-06-23 16:14:45 UTC","2026-06-23 16:14:45 UTC","MeghaPerumal",""
"DKCM","Recon","2.26.0623.581","UAT","Failed","2026-06-23 16:19:30 UTC","2026-06-23 16:19:30 UTC","MeghaPerumal",""
"MASH","Recon","2.26.0623.581","UAT","Failed","2026-06-23 16:37:17 UTC","2026-06-23 16:37:17 UTC","MeghaPerumal",""
"KLIM","Recon","2.26.0623.581","UAT","Failed","2026-06-23 17:12:49 UTC","2026-06-23 17:12:49 UTC","MeghaPerumal",""
"KLIM","Recon","2.26.0623.581","UAT","Failed","2026-06-23 17:36:12 UTC","2026-06-23 17:36:12 UTC","MeghaPerumal",""
"KLIM","Recon","2.26.0623.581","UAT","Failed","2026-06-24 09:29:01 UTC","2026-06-24 09:29:01 UTC","MeghaPerumal",""
"KLIM","Recon","2.26.0623.581","UAT","Succeeded","2026-06-24 09:46:30 UTC","2026-06-24 09:46:30 UTC","MeghaPerumal",""
"DKCM","Recon","2.26.0623.581","UAT","Succeeded","2026-06-24 10:10:37 UTC","2026-06-24 10:10:37 UTC","MeghaPerumal",""
"MASH","Recon","2.26.0623.581","UAT","Succeeded","2026-06-24 10:33:23 UTC","2026-06-24 10:33:23 UTC","MeghaPerumal",""
"BAIN","Recon","2.26.0623.581","UAT","Failed","2026-06-24 10:51:41 UTC","2026-06-24 10:51:41 UTC","MeghaPerumal",""
"BAIN","Recon","2.26.0623.581","UAT","Succeeded","2026-06-24 11:15:03 UTC","2026-06-24 11:15:03 UTC","MeghaPerumal.",""
"QA  ","Recon","2.26.0623.582","QA","Succeeded","2026-06-24 11:15:03 UTC","2026-06-24 11:15:03 UTC","MeghaPerumal",""
"KLIM","Tools","2.26.0621.70","UAT","Failed","2026-06-24 11:37:22 UTC","2026-06-24 11:37:22 UTC","MeghaPerumal",""
"KLIM","Tools","2.26.0621.70","UAT","Succeeded","2026-06-24 11:44:13 UTC","2026-06-24 11:44:13 UTC","MeghaPerumal",""
"MASH","Tools","2.26.0621.70","UAT","Succeeded","2026-06-24 12:23:39 UTC","2026-06-24 12:23:39 UTC","MeghaPerumal",""
"DKCM","Tools","2.26.0621.70","UAT","Failed","2026-06-24 12:26:09 UTC","2026-06-24 12:26:09 UTC","MeghaPerumal",""
"DKCM","Tools","2.26.0621.70","UAT","Succeeded","2026-06-24 12:35:14 UTC","2026-06-24 12:35:14 UTC","MeghaPerumal",""
"BAIN","Tools","2.26.0621.70","UAT","Succeeded","2026-06-24 12:51:50 UTC","2026-06-24 12:51:50 UTC","MeghaPerumal",""
"DKCM","Tools","2.26.0621.70","UAT","Succeeded","2026-06-24 13:37:58 UTC","2026-06-24 13:37:58 UTC","MeghaPerumal",""
"KLIM","Tools","2.26.0621.70","UAT","Cancelled","2026-06-25 11:22:17 UTC","2026-06-25 11:22:17 UTC","MeghaPerumal",""
"MASH","Tools","2.26.0621.70","UAT","Cancelled","2026-06-25 11:56:31 UTC","2026-06-25 11:56:31 UTC","MeghaPerumal",""
"MASH","Tools","2.26.0621.70","UAT","Cancelled","2026-06-25 12:02:33 UTC","2026-06-25 12:02:33 UTC","MeghaPerumal",""
"MASH","Recon","2.26.0623.581","UAT","Failed","2026-06-25 17:41:03 UTC","2026-06-25 17:41:03 UTC","ajoshi-lds",""
"MASH","Recon","2.26.0623.581","UAT","Succeeded","2026-06-25 20:19:53 UTC","2026-06-25 20:19:53 UTC","ajoshi-lds",""
"MASH","Recon","2.26.0623.581","UAT","Failed","2026-06-26 06:14:26 UTC","2026-06-26 06:14:26 UTC","ajoshi-lds",""
"MASH","Recon","2.26.0623.581","UAT","Failed","2026-06-26 08:48:07 UTC","2026-06-26 08:48:07 UTC","ajoshi-lds",""
"MASH","Recon","2.26.0623.581","UAT","Succeeded","2026-06-26 09:10:10 UTC","2026-06-26 09:10:10 UTC","ajoshi-lds",""
"BAIN","Recon","2.26.0626.598","UAT","Failed","2026-06-26 17:25:49 UTC","2026-06-26 17:25:49 UTC","MeghaPerumal",""
"BAIN","Recon","2.26.0626.598","UAT","Failed","2026-06-26 17:48:35 UTC","2026-06-26 17:48:35 UTC","MeghaPerumal",""
"BAIN","Recon","2.26.0626.598","UAT","Succeeded","2026-06-26 17:56:23 UTC","2026-06-26 17:56:23 UTC","MeghaPerumal",""
"MASH","Recon","2.26.0623.582","UAT","2.26.0703.45","2026-06-30 11:48:26 UTC","2026-06-30 11:48:26 UTC","github-actions[bot]",""
"QRMO","Recon","2.26.0629.605","UAT","Succeeded","2026-07-01 17:16:12 UTC","2026-07-01 17:16:12 UTC","ajoshi-lds","https://github.com/LD-Global-Services/Deployment/actions/runs/28534302438"
