"Client","Application","Version","Environment","DeploymentStatus","DeploymentDateTime","TriggeredBy"
"CLIENT_A","APP_ALPHA","1.0.0","UAT","Succeeded","2026-06-15 09:00:00 UTC","john.doe"
"CLIENT_A","APP_BETA","2.2.0","PROD","Succeeded","2026-06-17 09:00:00 UTC","john.doe"
"CLIENT_A","APP_BETA","2.3.0","UAT","Succeeded","2026-06-18 10:15:00 UTC","john.doe"
"CLIENT_A","APP_GAMMA","3.1.0","PROD","Succeeded","2026-06-17 15:20:00 UTC","john.doe"
"CLIENT_A","APP_GAMMA","3.2.0","UAT","Succeeded","2026-06-18 11:30:00 UTC","john.doe"
"CLIENT_B","APP_ALPHA","1.4.0","PROD","Succeeded","2026-06-16 08:00:00 UTC","mike.ross"
"CLIENT_B","APP_ALPHA","1.5.0","UAT","Succeeded","2026-06-17 14:45:00 UTC","mike.ross"
"CLIENT_B","APP_BETA","2.0.0","PROD","Succeeded","2026-06-15 12:00:00 UTC","mike.ross"
"CLIENT_B","APP_BETA","2.0.0","UAT","Succeeded","2026-06-14 11:15:00 UTC","mike.ross"
"CLIENT_B","APP_BETA","2.1.0","UAT","Succeeded","2026-06-17 08:45:00 UTC","sarah.connor"
"CLIENT_C","APP_GAMMA","3.0.0","PROD","Succeeded","2026-06-17 09:30:00 UTC","david.kim"
"CLIENT_C","APP_GAMMA","3.0.0","UAT","Succeeded","2026-06-15 16:20:00 UTC","david.kim"
"CLIENT_D","APP_DELTA","4.0.0","PROD","Succeeded","2026-06-17 10:00:00 UTC","alice.wonder"
"CLIENT_D","APP_DELTA","4.0.0","UAT","Succeeded","2026-06-16 18:00:00 UTC","alice.wonder"
